City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
mar del plata,-38.0,-57.56,55.99,81,2,6.93,AR,2020-05-10
pochutla,15.74,-96.47,84.0,79,4,1.79,MX,2020-05-10
labuan,5.28,115.24,91.4,70,75,3.36,MY,2020-05-10
butaritari,3.07,172.79,83.8,76,16,6.96,KI,2020-05-10
puerto ayora,-0.74,-90.35,75.99,94,0,3.0,EC,2020-05-10
albany,42.6,-73.97,45.0,65,100,3.38,US,2020-05-10
jumla,29.27,82.18,63.41,42,60,4.43,NP,2020-05-10
mataura,-46.19,168.86,55.33,75,100,0.36,NZ,2020-05-10
rikitea,-23.12,-134.97,75.2,76,30,10.16,PF,2020-05-10
deputatskiy,69.3,139.9,26.38,99,100,7.29,RU,2020-05-10
kichera,55.94,110.1,39.69,70,67,6.17,RU,2020-05-10
ushuaia,-54.8,-68.3,42.8,81,40,10.29,AR,2020-05-10
nome,64.5,-165.41,53.6,50,90,11.41,US,2020-05-10
port elizabeth,-33.92,25.57,57.2,100,75,10.29,ZA,2020-05-10
vestmannaeyjar,63.44,-20.27,42.53,77,24,15.88,IS,2020-05-10
sao filipe,14.9,-24.5,72.91,74,4,7.07,CV,2020-05-10
eregli,37.51,34.05,58.32,44,59,2.06,TR,2020-05-10
cape town,-33.93,18.42,62.01,93,0,6.93,ZA,2020-05-10
airai,-8.93,125.41,73.71,68,32,4.43,TL,2020-05-10
sabang,5.89,95.32,82.47,78,100,5.93,ID,2020-05-10
atuona,-9.8,-139.03,81.14,78,22,14.29,PF,2020-05-10
chokurdakh,70.63,147.92,33.21,100,100,13.58,RU,2020-05-10
port alfred,-33.59,26.89,62.01,75,0,1.01,ZA,2020-05-10
port blair,11.67,92.75,87.3,67,100,10.22,IN,2020-05-10
kapaa,22.08,-159.32,75.2,78,90,18.34,US,2020-05-10
farnham,51.21,-0.8,39.99,64,31,16.11,GB,2020-05-10
sola,-13.88,167.55,84.2,70,75,6.93,VU,2020-05-10
mao,39.89,4.27,62.6,93,0,11.41,ES,2020-05-10
bluff,-46.6,168.33,54.34,81,100,8.01,NZ,2020-05-10
punta arenas,-53.15,-70.92,42.8,81,75,6.93,CL,2020-05-10
faanui,-16.48,-151.75,82.42,74,47,10.33,PF,2020-05-10
narsaq,60.92,-46.05,57.2,33,32,16.11,GL,2020-05-10
kununurra,-15.77,128.73,87.8,18,0,11.41,AU,2020-05-10
qaanaaq,77.48,-69.36,6.89,76,0,6.04,GL,2020-05-10
rosario,-32.95,-60.64,69.01,64,98,12.75,AR,2020-05-10
carnarvon,-24.87,113.63,77.45,51,0,7.78,AU,2020-05-10
severo-kurilsk,50.68,156.12,35.89,83,100,6.78,RU,2020-05-10
najran,17.49,44.13,71.6,49,0,3.18,SA,2020-05-10
saint-philippe,-21.36,55.77,71.6,60,75,6.93,RE,2020-05-10
arraial do cabo,-22.97,-42.03,71.33,69,0,21.85,BR,2020-05-10
baykit,61.67,96.37,62.35,45,76,8.08,RU,2020-05-10
isaccea,45.27,28.47,59.0,76,38,5.82,RO,2020-05-10
upernavik,72.79,-56.15,14.05,87,95,10.98,GL,2020-05-10
mae sai,20.43,99.88,89.01,70,55,3.36,TH,2020-05-10
asfi,32.3,-9.24,62.76,78,0,4.7,MA,2020-05-10
sao lourenco do sul,-31.37,-51.98,59.0,84,0,7.96,BR,2020-05-10
tiksi,71.69,128.87,30.06,98,99,13.24,RU,2020-05-10
hermanus,-34.42,19.23,54.0,95,0,1.97,ZA,2020-05-10
busselton,-33.65,115.33,70.0,47,69,4.12,AU,2020-05-10
laem sing,12.48,102.07,89.6,75,40,6.93,TH,2020-05-10
lebu,-37.62,-73.65,52.11,85,76,3.62,CL,2020-05-10
sebinkarahisar,40.29,38.42,44.24,61,43,1.05,TR,2020-05-10
tuktoyaktuk,69.45,-133.04,32.0,99,40,9.17,CA,2020-05-10
los llanos de aridane,28.66,-17.92,66.2,77,26,5.82,ES,2020-05-10
yellowknife,62.46,-114.35,39.2,48,20,4.7,CA,2020-05-10
okha,53.57,142.95,50.41,59,100,11.48,RU,2020-05-10
hilo,19.73,-155.09,80.6,57,20,8.05,US,2020-05-10
vaini,-21.2,-175.2,80.6,69,20,14.99,TO,2020-05-10
waipawa,-41.41,175.52,64.4,55,87,13.87,NZ,2020-05-10
san quintin,30.48,-115.95,63.0,83,28,9.8,MX,2020-05-10
castro,-24.79,-50.01,52.56,92,0,4.41,BR,2020-05-10
saskylakh,71.92,114.08,22.91,96,77,13.09,RU,2020-05-10
mpongwe,-13.51,28.16,51.93,96,59,4.65,ZM,2020-05-10
ponta delgada,37.73,-25.67,57.2,58,75,5.82,PT,2020-05-10
cartagena,10.4,-75.51,81.3,86,0,9.46,CO,2020-05-10
fairbanks,64.84,-147.72,80.6,28,1,12.75,US,2020-05-10
cabo san lucas,22.89,-109.91,73.0,76,14,14.5,MX,2020-05-10
husavik,66.04,-17.34,39.2,55,90,23.04,IS,2020-05-10
hofn,64.25,-15.21,41.2,60,1,13.47,IS,2020-05-10
ola,59.58,151.28,42.13,65,64,3.11,RU,2020-05-10
egvekinot,66.32,-179.17,32.65,100,100,3.56,RU,2020-05-10
khromtau,50.25,58.43,59.58,61,100,10.18,KZ,2020-05-10
baturaja,-4.13,104.17,88.93,62,67,1.68,ID,2020-05-10
redlands,34.06,-117.18,75.2,50,20,13.87,US,2020-05-10
hasaki,35.73,140.83,86.0,65,40,12.75,JP,2020-05-10
mareeba,-17.0,145.43,84.2,54,40,20.8,AU,2020-05-10
roanoke rapids,36.46,-77.65,54.0,76,1,5.82,US,2020-05-10
khatanga,71.97,102.5,31.17,99,97,5.35,RU,2020-05-10
lompoc,34.64,-120.46,54.0,87,90,6.93,US,2020-05-10
kenai,60.55,-151.26,53.6,81,1,12.75,US,2020-05-10
lavrentiya,65.58,-171.0,36.99,91,99,6.06,RU,2020-05-10
san andres,12.58,-81.7,84.2,79,75,11.41,CO,2020-05-10
jamestown,42.1,-79.24,46.4,65,90,12.75,US,2020-05-10
carballo,43.21,-8.69,50.0,100,90,4.7,ES,2020-05-10
sibolga,1.74,98.78,88.81,57,100,2.73,ID,2020-05-10
tubuala,9.52,-79.03,82.4,78,100,2.24,PA,2020-05-10
kavieng,-2.57,150.8,86.23,72,82,10.33,PG,2020-05-10
itoman,26.12,127.67,80.01,78,75,8.05,JP,2020-05-10
ouadda,8.08,22.4,69.98,89,98,3.2,CF,2020-05-10
torbay,47.67,-52.73,37.0,80,90,13.87,CA,2020-05-10
port lincoln,-34.73,135.87,61.23,59,100,14.72,AU,2020-05-10
acireale,37.61,15.17,64.4,77,75,9.17,IT,2020-05-10
clyde river,70.47,-68.59,12.2,85,90,5.82,CA,2020-05-10
condega,13.37,-86.4,75.34,78,85,3.76,NI,2020-05-10
new norfolk,-42.78,147.06,57.99,76,91,1.99,AU,2020-05-10
bandarbeyla,9.49,50.81,82.47,73,70,10.16,SO,2020-05-10
ust-kulom,61.69,53.69,55.85,85,100,6.15,RU,2020-05-10
ostrovnoy,68.05,39.51,36.01,84,100,22.39,RU,2020-05-10
barra do corda,-5.5,-45.25,72.72,87,100,2.17,BR,2020-05-10
katsuura,35.13,140.3,82.0,83,40,11.41,JP,2020-05-10
kavaratti,10.57,72.64,87.8,70,40,6.93,IN,2020-05-10
balabac,7.99,117.06,88.09,66,26,9.42,PH,2020-05-10
avarua,-21.21,-159.78,77.0,94,100,3.36,CK,2020-05-10
ulladulla,-35.35,150.47,66.0,34,0,8.05,AU,2020-05-10
polunochnoye,60.87,60.42,60.91,65,100,4.43,RU,2020-05-10
barrow,71.29,-156.79,35.6,74,1,9.17,US,2020-05-10
galle,6.04,80.22,86.11,68,100,2.39,LK,2020-05-10
cherskiy,68.75,161.3,44.19,59,99,20.62,RU,2020-05-10
flinders,-34.58,150.86,68.0,46,0,4.0,AU,2020-05-10
sompeta,18.93,84.6,91.6,54,1,9.69,IN,2020-05-10
kingisepp,59.37,28.61,49.82,64,89,8.21,RU,2020-05-10
payo,-3.75,103.64,91.22,57,72,1.97,ID,2020-05-10
sitka,57.05,-135.33,69.8,30,75,6.93,US,2020-05-10
fortuna,40.6,-124.16,55.99,87,1,6.93,US,2020-05-10
gubbi,13.31,76.94,88.95,28,70,9.24,IN,2020-05-10
ixtapa,20.7,-105.2,74.95,41,48,3.02,MX,2020-05-10
uige,-7.61,15.06,66.38,95,45,0.74,AO,2020-05-10
dikson,73.51,80.55,27.91,98,100,14.14,RU,2020-05-10
sur,22.57,59.53,91.83,31,18,6.17,OM,2020-05-10
hobart,-42.88,147.33,57.99,71,90,5.99,AU,2020-05-10
bredasdorp,-34.53,20.04,59.0,87,0,5.82,ZA,2020-05-10
chuy,-33.7,-53.46,64.99,79,32,7.65,UY,2020-05-10
cabedelo,-6.98,-34.83,75.2,94,20,5.82,BR,2020-05-10
rocha,-34.48,-54.33,66.18,77,57,10.71,UY,2020-05-10
leningradskiy,69.38,178.42,35.56,94,93,11.18,RU,2020-05-10
iqaluit,63.75,-68.51,24.8,73,90,31.09,CA,2020-05-10
bereda,43.27,-7.54,51.01,1,17,1.28,ES,2020-05-10
nautla,20.22,-96.78,74.82,85,16,4.54,MX,2020-05-10
half moon bay,37.46,-122.43,57.99,87,90,10.29,US,2020-05-10
pacific grove,36.62,-121.92,55.0,91,96,1.01,US,2020-05-10
gigmoto,13.78,124.39,86.52,71,88,5.88,PH,2020-05-10
ewa beach,21.32,-158.01,82.4,48,40,13.87,US,2020-05-10
mugur-aksy,50.35,90.5,57.61,30,0,3.8,RU,2020-05-10
tautira,-17.73,-149.15,82.4,74,100,5.82,PF,2020-05-10
pangai,-19.8,-174.35,82.4,74,20,9.17,TO,2020-05-10
ponta do sol,32.67,-17.1,64.4,72,40,5.82,PT,2020-05-10
banjar,-8.19,114.97,86.0,84,20,10.29,ID,2020-05-10
kodiak,57.79,-152.41,50.0,66,20,10.29,US,2020-05-10
batemans bay,-35.72,150.18,66.0,36,0,6.46,AU,2020-05-10
acari,-15.43,-74.62,68.92,69,42,3.18,PE,2020-05-10
naze,28.37,129.48,78.8,65,20,11.41,JP,2020-05-10
port-gentil,-0.72,8.78,76.69,85,100,6.6,GA,2020-05-10
tiznit,29.58,-9.5,55.8,87,74,6.82,MA,2020-05-10
thompson,55.74,-97.86,24.8,49,5,6.93,CA,2020-05-10
labrea,-7.26,-64.8,73.9,95,28,1.45,BR,2020-05-10
lagoa,39.05,-27.98,57.18,73,43,23.78,PT,2020-05-10
kuloy,61.03,42.49,47.5,77,84,3.74,RU,2020-05-10
lata,40.16,-8.33,57.99,97,99,7.0,PT,2020-05-10
tripoli,32.88,13.19,78.96,34,5,8.03,LY,2020-05-10
cidreira,-30.18,-50.21,65.95,71,100,8.34,BR,2020-05-10
sandakan,5.84,118.12,89.6,70,40,6.93,MY,2020-05-10
hoima,1.44,31.34,64.9,95,100,4.85,UG,2020-05-10
pangnirtung,66.15,-65.71,22.48,91,100,12.68,CA,2020-05-10
tulum,20.22,-87.47,77.0,100,32,1.99,MX,2020-05-10
bengkulu,-3.8,102.27,87.04,64,91,2.51,ID,2020-05-10
saldanha,-33.01,17.94,59.0,87,0,6.93,ZA,2020-05-10
port augusta,-32.5,137.77,64.4,39,93,8.05,AU,2020-05-10
codrington,-38.27,141.97,62.13,57,60,10.51,AU,2020-05-10
henties bay,-22.12,14.28,69.08,48,27,0.98,NA,2020-05-10
poronaysk,49.22,143.12,42.62,82,100,7.67,RU,2020-05-10
plettenberg bay,-34.05,23.37,61.05,69,0,4.54,ZA,2020-05-10
rock sound,24.9,-76.2,76.06,85,100,11.68,BS,2020-05-10
san patricio,19.22,-104.7,72.5,80,18,2.75,MX,2020-05-10
thinadhoo,0.53,72.93,85.59,78,26,14.16,MV,2020-05-10
hambantota,6.12,81.12,84.2,94,75,6.93,LK,2020-05-10
hithadhoo,-0.6,73.08,85.48,77,78,11.63,MV,2020-05-10
yanam,16.73,82.22,89.6,66,40,5.53,IN,2020-05-10
nanortalik,60.14,-45.24,43.36,79,70,19.35,GL,2020-05-10
georgetown,5.41,100.34,87.8,79,20,4.7,MY,2020-05-10
yatou,37.15,122.38,69.85,36,60,11.95,CN,2020-05-10
oni,42.58,43.44,45.61,63,55,1.48,GE,2020-05-10
tilichiki,60.47,166.1,31.62,100,100,1.01,RU,2020-05-10
shirokiy,49.76,129.52,56.84,37,94,6.31,RU,2020-05-10
mahebourg,-20.41,57.7,73.4,56,75,11.41,MU,2020-05-10
denpasar,-8.65,115.22,86.0,84,20,10.29,ID,2020-05-10
oranjemund,-28.55,16.43,70.66,34,0,4.7,NA,2020-05-10
namatanai,-3.67,152.43,85.95,70,50,6.2,PG,2020-05-10
guerrero negro,27.98,-114.06,63.0,82,100,13.69,MX,2020-05-10
la libertad,-2.23,-80.9,75.7,83,13,7.72,EC,2020-05-10
east london,-33.02,27.91,68.0,40,0,10.29,ZA,2020-05-10
jiwani,25.05,61.74,84.96,68,11,9.95,PK,2020-05-10
zunyi,27.69,106.91,67.51,77,94,9.37,CN,2020-05-10
coquimbo,-29.95,-71.34,51.8,87,0,4.7,CL,2020-05-10
farsund,58.09,6.8,37.99,57,0,5.01,NO,2020-05-10
bethel,41.37,-73.41,53.6,37,1,6.93,US,2020-05-10
road town,18.42,-64.62,81.0,88,4,3.0,VG,2020-05-10
paamiut,61.99,-49.67,41.36,77,100,11.7,GL,2020-05-10
jackson,42.42,-122.83,78.8,19,1,11.41,US,2020-05-10
turukhansk,65.82,87.98,51.06,64,1,10.87,RU,2020-05-10
presidencia roque saenz pena,-26.79,-60.44,76.05,59,84,7.49,AR,2020-05-10
kerrville,30.05,-99.14,64.4,48,1,5.82,US,2020-05-10
uyemskiy,64.47,40.85,39.2,80,33,4.47,RU,2020-05-10
alofi,-19.06,-169.92,84.2,79,0,5.82,NU,2020-05-10
acapulco,16.86,-99.89,82.4,78,5,5.82,MX,2020-05-10
qaqortoq,60.72,-46.03,57.2,33,54,16.11,GL,2020-05-10
cururupu,-1.83,-44.87,74.84,94,21,2.08,BR,2020-05-10
bafra,41.57,35.91,46.4,87,14,4.9,TR,2020-05-10
phan thiet,10.93,108.1,91.06,51,90,9.75,VN,2020-05-10
tabou,4.42,-7.35,79.93,85,99,9.48,CI,2020-05-10
namibe,-15.2,12.15,77.76,50,37,1.99,AO,2020-05-10
pisco,-13.7,-76.22,66.2,82,19,5.82,PE,2020-05-10
port-cartier,50.03,-66.87,37.99,64,20,12.75,CA,2020-05-10
ambulu,-8.35,113.61,85.62,69,100,6.31,ID,2020-05-10
pabna,24.0,89.25,98.11,33,0,7.52,BD,2020-05-10
olinda,-8.01,-34.86,82.4,69,40,6.93,BR,2020-05-10
mogadishu,2.04,45.34,78.8,65,40,8.05,SO,2020-05-10
ketchikan,55.34,-131.65,71.6,21,1,4.7,US,2020-05-10
margate,51.38,1.39,46.99,37,63,20.0,GB,2020-05-10
kaseda,31.42,130.32,80.01,57,20,8.05,JP,2020-05-10
birjand,32.87,59.22,66.2,29,63,9.17,IR,2020-05-10
pemangkat,1.17,108.97,86.07,70,98,5.73,ID,2020-05-10
tazovskiy,67.47,78.7,32.52,100,100,0.83,RU,2020-05-10
saint george,37.1,-113.58,75.2,36,40,19.46,US,2020-05-10
naron,43.52,-8.15,48.2,100,90,4.7,ES,2020-05-10
cabo rojo,18.09,-67.15,81.0,88,1,9.28,PR,2020-05-10
kutulik,53.35,102.78,61.84,30,20,8.21,RU,2020-05-10
ocampo,21.65,-101.5,56.91,75,7,16.84,MX,2020-05-10
norman wells,65.28,-126.83,59.0,38,40,5.82,CA,2020-05-10
terney,45.05,136.61,50.11,84,100,2.04,RU,2020-05-10
salinas,36.68,-121.66,59.0,71,1,11.41,US,2020-05-10
nikolskoye,59.7,30.79,48.2,45,86,11.18,RU,2020-05-10
oistins,13.07,-59.53,80.6,78,40,20.8,BB,2020-05-10
kahului,20.89,-156.47,80.6,57,20,20.8,US,2020-05-10
nata,8.33,-80.52,80.01,55,100,4.38,PA,2020-05-10
litovko,49.24,135.17,60.03,47,86,4.09,RU,2020-05-10
bella vista,36.43,-94.23,51.8,62,90,3.36,US,2020-05-10
diffa,13.32,12.61,78.84,16,46,7.29,NE,2020-05-10
dunedin,-45.87,170.5,57.16,69,96,8.08,NZ,2020-05-10
sakaiminato,35.55,133.23,77.0,36,20,24.16,JP,2020-05-10
fengzhen,40.44,113.15,63.09,27,0,27.74,CN,2020-05-10
panaba,21.28,-88.27,74.7,92,15,5.66,MX,2020-05-10
pasni,25.26,63.47,83.23,74,11,8.14,PK,2020-05-10
huarmey,-10.07,-78.15,67.23,84,69,8.25,PE,2020-05-10
palana,59.12,159.97,29.89,100,99,8.86,RU,2020-05-10
san cristobal,7.77,-72.22,69.66,80,26,3.31,VE,2020-05-10
lotofaga,-13.98,-171.86,89.01,75,4,5.01,WS,2020-05-10
yulara,-25.24,130.99,62.6,29,100,11.41,AU,2020-05-10
laives,46.42,11.33,52.0,92,100,4.0,IT,2020-05-10
kortkeros,61.81,51.58,48.2,93,90,2.24,RU,2020-05-10
nakhon phanom,17.41,104.78,99.0,44,90,11.41,TH,2020-05-10
college,64.86,-147.8,80.6,18,20,11.41,US,2020-05-10
nishihara,26.18,127.76,80.01,83,90,3.36,JP,2020-05-10
souillac,-20.52,57.52,73.4,56,75,11.41,MU,2020-05-10
sinnamary,5.38,-52.95,78.12,90,99,14.88,GF,2020-05-10
bonavista,48.65,-53.11,33.1,92,10,21.99,CA,2020-05-10
ferme-neuve,46.7,-75.45,30.24,95,82,5.5,CA,2020-05-10
pevek,69.7,170.31,37.45,79,3,18.59,RU,2020-05-10
vicuna,-30.03,-70.71,51.8,87,0,4.7,CL,2020-05-10
ribeira grande,38.52,-28.7,57.81,71,7,18.16,PT,2020-05-10
lasa,46.62,10.7,52.0,100,75,18.34,IT,2020-05-10
morondava,-20.28,44.28,75.22,66,88,6.51,MG,2020-05-10
gonaives,19.45,-72.68,80.4,71,47,3.67,HT,2020-05-10
buriti dos lopes,-3.17,-41.87,73.63,95,95,1.66,BR,2020-05-10
hare bay,48.85,-54.01,33.8,69,90,17.22,CA,2020-05-10
ulaanbaatar,47.91,106.88,60.8,29,40,31.32,MN,2020-05-10
longyearbyen,78.22,15.64,19.4,62,40,3.36,SJ,2020-05-10
strezhevoy,60.73,77.59,71.6,37,100,6.71,RU,2020-05-10
teknaf,20.86,92.31,91.53,47,0,6.02,BD,2020-05-10
kandrian,-6.22,149.55,82.98,84,100,13.04,PG,2020-05-10
humberto de campos,-2.6,-43.46,74.84,93,35,3.65,BR,2020-05-10
itarema,-2.92,-39.92,75.87,85,62,7.58,BR,2020-05-10
broken hill,-31.95,141.43,60.8,36,45,10.29,AU,2020-05-10
broome,42.25,-75.83,46.4,88,90,2.98,US,2020-05-10
pristina,42.67,21.17,53.01,76,40,1.12,XK,2020-05-10
ancud,-41.87,-73.82,48.99,100,75,2.24,CL,2020-05-10
provideniya,64.38,-173.3,36.81,92,100,9.19,RU,2020-05-10
santa clara,22.4,-79.97,71.6,100,75,3.36,CU,2020-05-10
takoradi,4.88,-1.76,73.62,91,100,2.57,GH,2020-05-10
pyaozerskiy,65.83,31.17,36.97,90,100,13.22,RU,2020-05-10
